Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,57.970001,58.779999,57.250000,57.930000,51.775242,1167500
2019-05-16,58.200001,58.349998,57.259998,58.080002,51.909302,889500
2019-05-17,57.389999,57.660000,55.040001,55.480000,49.585541,1373000
2019-05-20,55.380001,55.730000,54.830002,55.009998,49.165470,1055200
2019-05-21,55.259998,56.180000,55.099998,55.529999,49.630226,1112600
2019-05-22,55.099998,55.470001,53.450001,54.110001,48.361095,786600
2019-05-23,52.790001,52.860001,50.980000,51.230000,45.787079,1496900
2019-05-24,51.980000,52.189999,50.419998,50.470001,45.107826,922900
2019-05-28,50.660000,50.660000,49.130001,49.240002,44.008511,2045800
2019-05-29,48.849998,51.169998,48.830002,51.000000,45.581512,1959900
2019-05-30,50.980000,51.830002,49.910000,50.180000,44.848633,1018400
2019-05-31,49.080002,49.889999,48.799999,48.910000,43.713566,1045100
2019-06-03,49.099998,50.160000,48.650002,49.790001,44.500072,1113200
2019-06-04,50.330002,50.730000,49.860001,50.330002,44.982700,1191300
2019-06-05,50.700001,51.430000,49.439999,51.000000,45.581512,1621500
2019-06-06,51.150002,51.990002,50.790001,51.180000,45.742393,1543300
2019-06-07,51.669998,52.389999,50.619999,51.889999,46.376961,1466000
2019-06-10,51.939999,52.369999,50.389999,50.660000,45.277637,1544300
2019-06-11,51.290001,51.849998,50.619999,51.340000,45.885391,1138000
2019-06-12,50.810001,51.070000,49.250000,49.439999,44.187260,1583800
2019-06-13,50.450001,50.930000,49.400002,50.250000,44.911198,1688000
2019-06-14,50.240002,50.240002,48.380001,48.400002,43.257751,1449600
2019-06-17,48.099998,49.290001,48.099998,48.700001,43.525883,2655200
2019-06-18,48.970001,50.169998,48.820000,49.520000,44.258766,1420100
2019-06-19,49.290001,49.799999,48.520000,49.130001,43.910194,1100600
2019-06-20,50.450001,51.389999,49.900002,51.070000,45.644077,1749300
2019-06-21,51.230000,52.360001,50.980000,51.110001,45.679829,2077200
2019-06-24,51.080002,51.299999,49.810001,49.990002,44.678825,1021800
2019-06-25,49.619999,49.939999,48.720001,48.810001,43.624191,1196000
2019-06-26,49.540001,50.740002,49.110001,49.720001,44.437515,1092000
2019-06-27,49.759998,50.419998,49.480000,49.740002,44.455383,772100
2019-06-28,49.779999,50.689999,49.779999,50.619999,45.241886,1053900
2019-07-01,51.750000,52.400002,50.959999,51.419998,45.956890,1081000
2019-07-02,50.990002,51.049999,49.259998,49.430000,44.178318,1661700
2019-07-03,49.410000,49.500000,48.750000,49.320000,44.080002,642800
2019-07-05,49.139999,50.040001,49.020000,50.029999,44.714577,627300
2019-07-08,49.779999,51.070000,49.540001,50.599998,45.224014,812700
2019-07-09,50.250000,50.820000,49.830002,50.560001,45.188263,1780600
2019-07-10,51.189999,51.990002,51.009998,51.830002,46.323330,1123900
2019-07-11,51.770000,52.200001,51.540001,51.770000,46.269707,2157700
2019-07-12,51.900002,53.060001,51.730000,52.150002,46.609337,1123200
2019-07-15,52.320000,52.480000,51.220001,51.290001,45.840706,1071700
2019-07-16,51.189999,52.020000,50.180000,50.590000,45.215073,1386600
2019-07-17,50.570000,50.730000,49.980000,50.040001,44.723511,1289900
2019-07-18,49.810001,50.820000,49.570000,50.619999,45.241886,1246300
2019-07-19,50.680000,51.349998,50.240002,51.279999,45.831768,886500
2019-07-22,51.480000,52.169998,50.200001,50.860001,45.456390,954200
2019-07-23,51.000000,51.130001,49.250000,50.259998,44.920139,1678800
2019-07-24,50.369999,51.259998,50.180000,50.900002,45.492138,1560900
2019-07-25,49.500000,49.639999,47.020000,48.990002,43.785069,2652900
2019-07-26,49.029999,49.509998,47.610001,48.060001,42.953873,1744800
2019-07-29,48.110001,48.599998,47.660000,47.720001,42.649998,1487100
2019-07-30,47.290001,49.650002,47.290001,49.410000,44.160446,1229900
2019-07-31,49.330002,50.340000,48.750000,49.680000,44.401760,2528600
2019-08-01,48.810001,48.810001,46.000000,46.910000,41.926056,1672600
2019-08-02,46.990002,47.330002,45.700001,46.130001,41.228924,1270500
2019-08-05,45.060001,45.169998,43.490002,43.730000,39.083920,1567400
2019-08-06,43.930000,44.240002,41.669998,43.840000,39.182228,1987300
2019-08-07,42.660000,43.799999,42.220001,43.500000,38.878349,1947800
2019-08-08,43.910000,44.099998,43.139999,43.959999,39.289478,1727200
2019-08-09,43.389999,43.439999,42.139999,42.709999,38.798927,1756800
2019-08-12,42.349998,42.490002,41.090000,41.279999,37.499878,1852800
2019-08-13,40.889999,42.189999,40.250000,40.490002,36.782223,1987300
2019-08-14,39.500000,40.200001,39.070000,39.410000,35.801117,1843200
2019-08-15,39.290001,39.730000,38.779999,39.169998,35.583096,1232200
2019-08-16,39.330002,39.700001,39.060001,39.410000,35.801117,1383900
2019-08-19,40.200001,40.330002,39.439999,39.830002,36.182663,1662400
2019-08-20,39.639999,39.730000,38.650002,38.959999,35.392323,1246800
2019-08-21,39.529999,39.910000,39.240002,39.270000,35.673939,901500
2019-08-22,39.570000,40.189999,39.000000,39.040001,35.465000,1240700
2019-08-23,38.450001,39.270000,36.869999,37.060001,33.666317,1469300
2019-08-26,37.580002,37.910000,36.990002,37.080002,33.684486,1056300
2019-08-27,37.389999,37.689999,36.220001,36.650002,33.293858,1924000
2019-08-28,36.830002,37.380001,36.480000,36.820000,33.448292,2075000
2019-08-29,37.349998,37.910000,37.099998,37.250000,33.838921,1997200
2019-08-30,37.470001,38.340000,37.340000,37.590000,34.147785,1527800
2019-09-03,36.599998,36.939999,36.060001,36.360001,33.030418,1445900
2019-09-04,37.250000,37.610001,36.689999,37.090000,33.693569,1458500
2019-09-05,37.630001,38.189999,37.090000,37.610001,34.165951,1660300
2019-09-06,37.369999,38.840000,36.779999,38.430000,34.910862,2292200
2019-09-09,38.910000,41.779999,38.910000,41.720001,37.899586,1871100
2019-09-10,42.259998,43.240002,41.840000,42.160000,38.299297,1705200
2019-09-11,42.259998,43.590000,41.580002,42.650002,38.744427,1857000
2019-09-12,40.810001,41.630001,40.009998,40.759998,37.027493,1651800
2019-09-13,41.169998,41.840000,40.750000,41.459999,37.663395,965100
2019-09-16,44.310001,47.450001,43.770000,47.400002,43.059456,3447600
2019-09-17,46.840000,46.919998,43.740002,44.060001,40.025307,2534300
2019-09-18,43.259998,44.439999,43.020000,43.580002,39.589264,1048600
2019-09-19,44.330002,44.439999,42.980000,43.009998,39.071457,907900
2019-09-20,43.139999,43.869999,42.869999,43.240002,39.280399,2254700
2019-09-23,43.000000,43.480000,42.380001,43.330002,39.362156,678600
2019-09-24,42.900002,42.900002,40.389999,40.759998,37.027493,1153300
2019-09-25,39.900002,41.349998,39.570000,41.080002,37.318192,1004900
2019-09-26,41.080002,41.200001,40.099998,41.070000,37.309105,1219600
2019-09-27,40.230000,41.349998,39.939999,40.570000,36.854893,1396000
2019-09-30,39.660000,40.230000,39.180000,40.070000,36.400684,1488200
2019-10-01,40.480000,40.830002,39.150002,39.200001,35.610355,1068400
2019-10-02,39.090000,39.830002,38.299999,38.490002,34.965370,1111800
2019-10-03,38.150002,38.840000,37.650002,38.830002,35.274239,1427900
2019-10-04,38.759998,39.299999,38.060001,38.310001,34.801846,1198900
2019-10-07,38.669998,38.959999,37.180000,37.240002,33.829834,2585100
