Date,Open,High,Low,Close,Adj Close,Volume
2019-05-15,105.610001,107.000000,105.500000,106.699997,104.024834,5535600
2019-05-16,106.739998,108.680000,106.589996,108.110001,105.399483,9284200
2019-05-17,107.269997,108.000000,107.260002,107.449997,104.756027,6370200
2019-05-20,107.440002,108.129997,107.139999,107.330002,104.639038,6565300
2019-05-21,107.470001,107.540001,106.290001,106.370003,103.703110,5226400
2019-05-22,106.089996,107.050003,105.940002,106.720001,104.044334,4889700
2019-05-23,106.680000,107.029999,105.889999,106.760002,104.083336,6175600
2019-05-24,107.150002,107.440002,106.540001,106.690002,104.015083,4372100
2019-05-28,106.699997,107.250000,104.419998,104.459999,101.840996,7615500
2019-05-29,103.959999,104.809998,103.699997,104.190002,101.577766,7137300
2019-05-30,104.370003,105.370003,104.370003,105.330002,102.689186,4729200
2019-05-31,104.889999,104.900002,102.410004,102.910004,100.329865,10282300
2019-06-03,103.150002,103.959999,102.400002,103.800003,101.197548,8532900
2019-06-04,104.010002,105.099998,103.849998,104.680000,102.055473,6906400
2019-06-05,105.239998,106.750000,104.889999,106.730003,104.054092,6481700
2019-06-06,106.849998,107.680000,106.330002,107.379997,104.687782,6681600
2019-06-07,107.739998,109.379997,107.739998,108.769997,106.042923,8063400
2019-06-10,108.320000,109.019997,107.459999,108.720001,105.994194,4767000
2019-06-11,108.940002,109.599998,108.870003,109.379997,106.637642,8074400
2019-06-12,109.599998,110.660004,109.580002,109.680000,106.930115,7687800
2019-06-13,109.980003,110.949997,109.860001,110.910004,108.129288,8611400
2019-06-14,110.970001,111.750000,110.650002,111.199997,108.412018,6438100
2019-06-17,111.160004,111.209999,110.239998,110.989998,108.207275,6020000
2019-06-18,111.449997,111.559998,109.430000,109.599998,106.852127,7731200
2019-06-19,109.500000,110.730003,109.260002,110.419998,107.651566,7028000
2019-06-20,110.779999,112.019997,110.500000,111.739998,108.938477,7044200
2019-06-21,111.620003,112.470001,111.019997,111.199997,108.412018,13799400
2019-06-24,111.820000,112.500000,111.400002,112.330002,109.513687,5518100
2019-06-25,112.110001,112.629997,111.309998,111.720001,108.918968,6805600
2019-06-26,111.389999,111.440002,109.660004,109.730003,106.978874,7170300
2019-06-27,109.919998,110.269997,109.290001,109.779999,107.027611,5613300
2019-06-28,111.860001,111.959999,109.019997,109.650002,106.900871,12152000
2019-07-01,109.919998,110.699997,109.610001,110.489998,107.719810,6775900
2019-07-02,110.610001,111.500000,110.290001,111.480003,108.684998,6578200
2019-07-03,111.959999,114.269997,111.839996,114.080002,111.219810,6223300
2019-07-05,112.970001,113.449997,112.230003,113.150002,110.313126,8694800
